iter	Passed	Remaining
0	147	147026
1	147	73725
2	148	49298
3	149	37163
4	150	29898
5	150	25002
6	151	21491
7	152	18856
8	152	16822
9	153	15167
10	153	13823
11	154	12710
12	154	11765
13	155	10956
14	156	10255
15	156	9636
16	157	9089
17	157	8601
18	158	8168
19	158	7777
20	159	7424
21	159	7106
22	160	6814
23	161	6550
24	161	6306
25	162	6081
26	163	5891
27	164	5708
28	165	5529
29	165	5362
30	166	5207
31	167	5059
32	167	4922
33	168	4794
34	169	4671
35	170	4553
36	170	4441
37	171	4337
38	171	4236
39	172	4145
40	173	4059
41	174	3975
42	174	3893
43	175	3816
44	176	3742
45	177	3674
46	178	3611
47	178	3549
48	179	3487
49	180	3428
50	181	3371
51	181	3315
52	182	3261
53	183	3208
54	183	3158
55	184	3110
56	185	3064
57	185	3019
58	186	2977
59	187	2935
60	188	2894
61	188	2855
62	189	2818
63	190	2781
64	190	2747
65	191	2714
66	192	2686
67	193	2656
68	194	2625
69	195	2594
70	196	2565
71	196	2536
72	197	2508
73	198	2480
74	198	2453
75	199	2427
76	200	2402
77	201	2377
78	201	2353
79	202	2329
80	203	2306
81	204	2284
82	204	2258
83	205	2237
84	205	2216
85	206	2199
86	208	2184
87	209	2168
88	210	2150
89	210	2132
90	211	2114
91	212	2096
92	213	2079
93	214	2062
94	214	2047
95	215	2032
96	216	2018
97	217	2003
98	218	1988
99	219	1973
100	220	1958
101	220	1944
102	221	1929
103	222	1919
104	223	1906
105	224	1895
106	225	1884
107	226	1874
108	227	1863
109	228	1851
110	229	1839
111	230	1828
112	231	1817
113	232	1805
114	233	1793
115	233	1782
116	234	1770
117	235	1759
118	236	1748
119	237	1740
120	238	1732
121	239	1721
122	240	1711
123	240	1701
124	241	1691
125	242	1682
126	243	1672
127	244	1662
128	244	1653
129	245	1644
130	246	1635
131	247	1627
132	248	1618
133	249	1610
134	250	1602
135	250	1594
136	252	1587
137	253	1582
138	254	1575
139	255	1567
140	255	1559
141	256	1550
142	257	1542
143	258	1535
144	259	1527
145	259	1520
146	260	1513
147	261	1506
148	262	1499
149	263	1492
150	264	1485
151	265	1479
152	265	1472
153	267	1467
154	268	1463
155	269	1457
156	270	1450
157	271	1445
158	272	1438
159	272	1432
160	273	1425
161	274	1418
162	275	1412
163	275	1406
164	276	1400
165	277	1394
166	278	1388
167	279	1382
168	280	1377
169	280	1371
170	282	1368
171	283	1364
172	284	1360
173	285	1355
174	286	1350
175	287	1346
176	288	1341
177	289	1336
178	290	1332
179	291	1327
180	292	1322
181	293	1318
182	294	1314
183	295	1310
184	296	1305
185	297	1303
186	299	1300
187	300	1297
188	301	1293
189	302	1289
190	303	1285
191	304	1281
192	305	1277
193	306	1273
194	307	1268
195	308	1264
196	309	1260
197	310	1256
198	311	1252
199	312	1250
200	313	1247
201	314	1243
202	315	1239
203	316	1235
204	317	1230
205	318	1226
206	319	1222
207	319	1218
208	320	1214
209	321	1210
210	322	1206
211	323	1201
212	324	1197
213	325	1193
214	326	1190
215	327	1189
216	328	1186
217	329	1183
218	330	1179
219	331	1176
220	333	1174
221	334	1171
222	335	1167
223	335	1163
224	336	1160
225	337	1156
226	338	1153
227	339	1149
228	340	1146
229	341	1144
230	343	1142
231	344	1139
232	345	1136
233	346	1133
234	347	1130
235	348	1126
236	348	1123
237	349	1120
238	350	1116
239	351	1113
240	352	1109
241	353	1106
242	353	1102
243	354	1099
244	355	1096
245	356	1093
246	358	1091
247	359	1089
248	360	1086
249	360	1082
250	361	1079
251	362	1076
252	363	1073
253	364	1069
254	365	1066
255	365	1063
256	366	1060
257	367	1057
258	368	1054
259	370	1053
260	371	1051
261	372	1049
262	373	1047
263	375	1045
264	376	1043
265	377	1041
266	378	1038
267	379	1036
268	380	1034
269	381	1031
270	382	1029
271	383	1026
272	384	1024
273	385	1021
274	386	1018
275	387	1017
276	389	1016
277	390	1013
278	391	1011
279	392	1008
280	393	1006
281	394	1003
282	394	1000
283	395	997
284	396	995
285	397	993
286	398	990
287	399	988
288	400	985
289	401	983
290	402	981
291	404	979
292	404	977
293	405	974
294	406	972
295	407	969
296	408	967
297	409	964
298	410	961
299	411	960
300	412	957
301	413	955
302	414	953
303	415	951
304	416	949
305	417	947
306	419	945
307	420	943
308	421	942
309	422	940
310	423	938
311	424	936
312	426	935
313	427	933
314	428	931
315	429	928
316	430	926
317	431	924
318	432	923
319	433	922
320	434	920
321	435	917
322	436	915
323	438	914
324	439	912
325	440	910
326	441	908
327	442	906
328	443	905
329	444	903
330	445	901
331	447	899
332	448	898
333	449	896
334	450	894
335	451	892
336	452	890
337	453	888
338	454	886
339	455	884
340	456	882
341	457	880
342	458	878
343	459	876
344	460	874
345	461	872
346	463	871
347	464	869
348	465	867
349	466	865
350	467	863
351	468	861
352	469	860
353	470	858
354	471	856
355	472	853
356	472	851
357	473	849
358	474	847
359	475	845
360	477	844
361	478	843
362	479	841
363	480	839
364	481	837
365	482	835
366	484	834
367	485	833
368	486	831
369	487	829
370	488	828
371	489	826
372	490	825
373	492	824
374	493	822
375	494	820
376	495	819
377	497	817
378	498	816
379	499	814
380	500	812
381	501	811
382	503	810
383	504	808
384	505	807
385	506	805
386	507	803
387	508	802
388	509	800
389	510	798
390	511	797
391	512	795
392	514	793
393	515	792
394	516	790
395	517	789
396	518	787
397	519	785
398	520	784
399	521	782
400	523	781
401	524	779
402	525	777
403	526	776
404	527	774
405	527	772
406	528	770
407	529	768
408	530	766
409	531	765
410	532	763
411	533	761
412	534	760
413	535	758
414	537	757
415	538	755
416	539	754
417	540	753
418	542	751
419	542	749
420	543	747
421	544	746
422	545	744
423	546	742
424	547	740
425	548	739
426	549	737
427	550	735
428	551	733
429	552	732
430	553	731
431	554	729
432	555	727
433	556	726
434	557	724
435	558	722
436	559	720
437	560	719
438	561	717
439	562	715
440	563	713
441	564	712
442	565	710
443	565	708
444	567	707
445	568	706
446	569	704
447	570	703
448	571	701
449	572	699
450	573	697
451	574	696
452	575	694
453	576	692
454	576	691
455	577	689
456	578	687
457	579	685
458	580	683
459	581	682
460	582	681
461	583	679
462	584	678
463	585	676
464	586	674
465	587	673
466	588	671
467	589	669
468	589	667
469	590	666
470	591	664
471	592	662
472	593	661
473	594	659
474	595	657
475	596	656
476	597	655
477	598	654
478	599	652
479	600	650
480	601	649
481	602	647
482	603	646
483	604	644
484	605	643
485	606	641
486	607	640
487	608	638
488	609	636
489	610	635
490	611	634
491	613	633
492	614	631
493	615	630
494	616	629
495	617	627
496	618	626
497	619	624
498	621	623
499	622	622
500	623	620
501	624	619
502	625	618
503	626	616
504	628	615
505	629	614
506	630	612
507	631	611
508	632	610
509	633	608
510	634	607
511	635	605
512	636	604
513	637	603
514	638	601
515	639	600
516	640	598
517	642	597
518	643	596
519	644	594
520	645	593
521	646	592
522	647	590
523	648	589
